date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:25	46973/46973	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:19:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/a7d47ca438d2e38df6a4af1f1917dcc6_250x220.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/a7d47ca438d2e38df6a4af1f1917dcc6_250x220.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:26	4822/4822	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202017%2019:04:25%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/80001f4242a59db3511f90bd2b1338c8_200x73.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/80001f4242a59db3511f90bd2b1338c8_200x73.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:32	34498/34498	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:19:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/d1fdd58615987930922a31c957c72a66_220x220.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/d1fdd58615987930922a31c957c72a66_220x220.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:33	45185/45185	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:19:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/2442b82c78f6cfaf31f5d87160538be2_230x220.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/2442b82c78f6cfaf31f5d87160538be2_230x220.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:35	10055/10055	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:38:28%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/ccfbb72f911fee89a3d56d1852cb6ceb_410x140.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/ccfbb72f911fee89a3d56d1852cb6ceb_410x140.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:45	80838/80838	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:38:28%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/9c2a93ed744d483e790a1d7631531831_500x350.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/9c2a93ed744d483e790a1d7631531831_500x350.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:47	77438/77438	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:38:28%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/745acb0b76e546642bc7f3937dae10f5_500x350.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/745acb0b76e546642bc7f3937dae10f5_500x350.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:47	9525/9525	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202017%2019:04:46%20GMT	http://bgf-records.000webhostapp.com/Russian	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/Russian.html	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:48	4451/4451	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/983ab8f4dda3a6e1e0dd3e6473f47c50_200x70.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/983ab8f4dda3a6e1e0dd3e6473f47c50_200x70.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:54	36331/36331	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202017%2022:18:46%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/a7d47ca438d2e38df6a4af1f1917dcc6_240x210.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/a7d47ca438d2e38df6a4af1f1917dcc6_240x210.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:55	41304/41304	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202017%2022:15:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/2442b82c78f6cfaf31f5d87160538be2_220x210.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/2442b82c78f6cfaf31f5d87160538be2_220x210.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:56	5880/5880	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/53ef14ecc86a5cec788e1ba4614280fc_290x40.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/53ef14ecc86a5cec788e1ba4614280fc_290x40.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:57	333402/333402	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Nov%202017%2022:19:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/2079e2d8aeb6ea9873df4cce6fa5f8ee.jpg	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/2079e2d8aeb6ea9873df4cce6fa5f8ee.jpg	(from http://bgf-records.000webhostapp.com/css/1.css?ts=1511897516)
21:04:58	5500/5500	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Nov%202017%2000:10:38%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/9ab105751a9e27ae8fcb7e0770a3c7a0_250x40.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/9ab105751a9e27ae8fcb7e0770a3c7a0_250x40.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:58	1663/1663	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/da4f513e0de6964fd33961815de7a15f_80x40.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/da4f513e0de6964fd33961815de7a15f_80x40.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:04:59	1510/1510	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/6451aae1c997a5689f0df03544c22889_80x40.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/6451aae1c997a5689f0df03544c22889_80x40.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:00	6697/6697	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202017%2000:24:36%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/ad93a21d1711bd188cc7936be186902c_360x60.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/ad93a21d1711bd188cc7936be186902c_360x60.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:01	34669/34669	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202017%2022:15:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/d1fdd58615987930922a31c957c72a66_210x210.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/d1fdd58615987930922a31c957c72a66_210x210.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:01	35521/35521	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/4ace84927b8aa40e151cb5cf99aaa874_210x210.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/4ace84927b8aa40e151cb5cf99aaa874_210x210.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:03	4790/4790	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/0e4a4c129b7950f5c9151f95ad9f0c51_200x40.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/0e4a4c129b7950f5c9151f95ad9f0c51_200x40.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:04	25396/25396	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202017%2000:28:58%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/d5c58091d2006b69e473ad288a6cf454_360x250.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/d5c58091d2006b69e473ad288a6cf454_360x250.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:07	38786/38786	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202017%2000:32:42%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/11139224ea610236c63741a3c3fd4505_343.75x250.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/11139224ea610236c63741a3c3fd4505_343.75x250.png	(from http://bgf-records.000webhostapp.com/Russian/)
21:05:08	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2024%20Feb%202016%2010:55:26%20GMT	http://bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.eot	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.eot	(from http://bgf-records.000webhostapp.com/css/bootstrap.min.css)
21:05:10	45404/45404	---M--	200	added ('OK')	application/font-sfnt	date:Wed,%2024%20Feb%202016%2010:55:30%20GMT	http://bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	(from http://bgf-records.000webhostapp.com/css/bootstrap.min.css)
